"ANOENC","NUMERO","NORDEN","CATEGMH","SUSPRIN","RELASP","EDAD","SEXO","PAISNACIM","NACIONA","PAISNACION","SITURES","ECIVILLEGAL","NORDENCO","UNION","CONVIVENCIA","NORDENPA","PAISPADRE","NORDENMA","PAISMADRE","ESTUDIOS","ESTUDRED","SITUACT","SITURED","OCU","JORNADA","PERCEP","IMPEXACP","INTERINP","NINODEP","HIJODEP","ADULTO","FACTOR"
2023,1,1,1,1,1,50,6,1,1,NA,1,1,99,NA,3,99,1,99,1,3,2,1,1,1,1,1,-9,3,6,6,1,400.95406
2023,2,1,1,1,1,41,6,1,1,NA,1,5,99,NA,3,99,1,99,1,7,4,1,1,1,2,1,-9,2,6,6,1,1575.616402
2023,2,2,1,6,3,11,1,1,1,NA,1,1,99,NA,3,99,1,1,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,1575.616402
2023,2,3,1,6,3,9,1,1,1,NA,1,1,99,NA,3,99,1,1,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,1575.616402
2023,3,1,1,1,1,64,1,1,1,NA,1,4,99,NA,3,99,1,99,1,4,3,2,1,1,1,1,850,2,6,6,1,962.46536
2023,4,1,1,1,1,70,1,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,4,2,2,NA,1,-9,5,6,6,1,621.096916
2023,4,2,1,6,2,69,6,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,6,2,2,NA,6,NA,NA,6,6,1,621.096916
2023,5,1,1,1,1,60,1,1,1,NA,1,2,2,1,1,99,1,99,1,5,4,1,1,1,1,1,2570,6,6,6,1,260.852439
2023,5,2,1,6,2,58,6,1,1,NA,1,2,1,1,1,99,1,99,1,5,4,1,1,1,2,1,930,2,6,6,1,260.852439
2023,5,3,1,6,3,21,1,1,1,NA,1,1,99,NA,3,1,1,2,1,4,3,5,2,2,NA,6,NA,NA,1,1,6,260.852439
2023,5,4,1,6,3,24,6,1,1,NA,6,1,99,NA,3,1,1,2,1,6,4,5,2,2,NA,6,NA,NA,1,1,6,260.852439
2023,6,1,1,1,1,69,6,1,1,NA,1,4,99,NA,3,99,1,99,1,2,1,7,2,2,NA,1,1400,3,6,6,1,886.045348
2023,7,1,1,1,1,79,1,1,1,NA,1,3,99,NA,3,99,1,99,1,2,1,4,2,2,NA,1,958,2,6,6,1,255.876616
2023,8,1,1,1,1,76,1,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,4,2,2,NA,1,-9,4,6,6,1,457.008134
2023,8,2,1,6,2,75,6,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,4,2,2,NA,1,-9,2,6,6,1,457.008134
2023,9,1,1,1,1,40,1,1,1,NA,1,2,2,1,1,99,1,99,1,5,4,1,1,1,1,1,-9,3,6,6,1,1005.400286
2023,9,2,1,6,2,37,6,1,1,NA,1,2,1,1,1,99,1,99,1,6,4,1,1,1,1,1,-9,3,6,6,1,1005.400286
2023,10,1,1,1,1,68,1,1,1,NA,6,2,2,1,1,99,1,99,1,3,2,4,2,2,NA,1,-9,3,6,6,1,802.184874
2023,10,2,1,6,2,62,6,1,1,NA,1,2,1,1,1,99,1,5,1,3,2,6,2,2,NA,6,NA,NA,6,6,1,802.184874
2023,10,3,1,6,3,30,6,1,1,NA,1,2,99,NA,3,1,1,2,1,5,4,1,1,1,1,1,-9,3,6,6,1,802.184874
2023,10,4,1,6,6,2,6,1,1,NA,1,1,99,NA,3,99,1,3,1,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,802.184874
2023,10,5,1,6,5,85,6,1,1,NA,1,3,99,NA,3,99,1,99,1,2,1,4,2,2,NA,1,-9,2,6,6,1,802.184874
2023,11,1,1,6,2,65,6,1,1,NA,1,2,2,1,1,99,1,99,1,5,4,4,2,2,NA,1,-9,2,6,6,1,452.425942
2023,11,2,1,1,1,69,1,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,4,2,2,NA,1,-9,3,6,6,1,452.425942
2023,12,1,1,1,1,60,1,1,1,NA,1,2,2,1,1,99,1,99,1,1,1,4,2,2,NA,1,-9,2,6,6,1,262.721881
2023,12,2,1,6,2,49,6,1,1,NA,1,2,1,1,1,99,1,99,1,3,2,7,2,2,NA,1,-9,2,6,6,1,262.721881
2023,13,1,1,6,2,42,6,4,3,3,1,2,2,1,1,99,4,99,4,4,3,3,1,2,NA,1,-9,-9,6,6,1,2105.799674
2023,13,2,1,1,1,43,1,4,3,3,1,2,1,1,1,99,4,99,4,4,3,1,1,1,1,1,-9,-9,6,6,1,2105.799674
2023,13,3,1,6,3,22,1,4,3,3,1,1,99,NA,3,2,4,1,4,3,2,5,2,2,NA,6,NA,NA,1,1,6,2105.799674
2023,14,1,1,1,1,19,1,1,1,NA,1,1,99,NA,3,99,1,99,1,3,2,1,1,1,1,1,1200,3,6,6,1,676.854077
2023,15,1,1,1,1,42,1,1,1,NA,1,2,2,1,1,99,1,99,1,3,2,1,1,1,1,1,1913,4,6,6,1,814.229637
2023,15,2,1,6,2,42,6,1,1,NA,1,2,1,1,1,99,1,99,1,5,4,1,1,1,1,1,1224,3,6,6,1,814.229637
2023,16,2,1,1,1,40,6,4,1,NA,1,5,99,NA,3,99,4,99,4,4,3,1,1,1,1,1,1216,3,6,6,1,2555.253887
2023,16,3,1,6,3,19,1,4,1,NA,1,1,99,NA,3,99,4,2,4,3,2,1,1,1,1,1,850,2,6,6,1,2555.253887
2023,16,4,1,6,3,11,1,4,2,3,1,1,99,NA,3,99,4,2,4,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,6,2555.253887
